time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
9.30000000,0.03432099,11520,0.00746286,0.00000000,0,0.00000000,4379,5698,2376,0.00000000
9.40000000,0.04527366,11520,0.00661949,0.00000000,0,0.00000000,5698,5741,1630,0.00108071
9.50000000,0.04008844,11520,0.00568952,0.00000000,0,0.00000000,5741,5903,1390,0.00110380
9.60000000,0.04878428,11520,0.00846212,0.00000000,0,0.00000000,5903,5839,1211,0.00061386
9.70000000,0.06282245,11520,0.00720378,0.00000000,0,0.00000000,5839,5966,1031,0.00077470
9.80000000,0.07623469,11520,0.00870459,0.00000000,0,0.00000000,5966,6120,923,0.00084728
9.90000000,0.05367466,11520,0.00544537,0.00000000,0,0.00000000,6120,6262,897,0.00111047
10.00000000,0.03308992,11520,0.00491402,0.00000000,0,0.00000000,6262,6251,802,0.00106948
10.10000000,0.04571552,11520,0.00628772,0.00000000,0,0.00000000,6251,6309,824,0.00069218
10.20000000,0.03451602,11520,0.00398907,0.00000000,0,0.00000000,6309,6314,655,0.00075247
10.30000000,0.04610151,11520,0.00613665,0.00000000,0,0.00000000,6314,6421,626,0.00080496
10.40000000,0.03951562,11520,0.00699989,0.00000000,0,0.00000000,6421,6512,550,0.00071547
10.50000000,0.03597484,11520,0.00329180,0.00000000,0,0.00000000,6512,6453,539,0.00196253
10.60000000,0.04798443,11520,0.00481957,0.00000000,0,0.00000000,6453,6517,489,0.00051331
10.70000000,0.04346537,11520,0.00495940,0.00000000,0,0.00000000,6517,6512,550,0.00046472
10.80000000,0.04662077,11520,0.00399037,0.00000000,0,0.00000000,6512,6581,447,0.00071137
10.90000000,0.09206584,11520,0.01608609,0.00000000,0,0.00000000,6581,6684,548,0.00044715
11.00000000,0.08210582,11520,0.02013249,0.00000000,0,0.00000000,6684,6714,463,0.00062527
11.10000000,0.04061035,11520,0.00405009,0.00000000,0,0.00000000,6714,6617,357,0.00055341
11.20000000,0.04010051,11520,0.00447350,0.00000000,0,0.00000000,6617,6429,382,0.00065824
11.30000000,0.06067754,11520,0.00635673,0.00000000,0,0.00000000,6429,6392,342,0.00051640
11.40000000,0.07110153,11520,0.00526942,0.00000000,0,0.00000000,6392,6474,365,0.00522768
11.50000000,0.05372241,11520,0.00363457,0.00000000,0,0.00000000,6474,6522,438,0.00232950
11.60000000,0.05558161,11520,0.00183183,0.00000000,0,0.00000000,6522,6558,348,0.00071689
11.70000000,0.04125095,11520,0.00287404,0.00000000,0,0.00000000,6558,6517,371,0.00084200
11.80000000,0.03763262,11520,0.00252238,0.00000000,0,0.00000000,6517,6598,369,0.00453510
11.90000000,0.04440960,11520,0.00194760,0.00000000,0,0.00000000,6598,6685,221,0.00155191
12.00000000,0.04235382,11520,0.00208512,0.00000000,0,0.00000000,6685,6754,270,0.00279902
12.10000000,0.03764919,11520,0.00320776,0.00000000,0,0.00000000,6754,6727,283,0.00420719
12.20000000,0.03871410,11520,0.00492839,0.00000000,0,0.00000000,6727,6789,226,0.00119000
12.30000000,0.03811061,11520,0.00396606,0.00000000,0,0.00000000,6789,6845,296,0.00067243
12.40000000,0.05700705,11520,0.00358339,0.00000000,0,0.00000000,6845,6884,266,0.00107655
12.50000000,0.05188495,11520,0.00291061,0.00000000,0,0.00000000,6884,6778,229,0.00048170
12.60000000,0.06832782,11520,0.00402767,0.00000000,0,0.00000000,6778,6827,279,0.00071515
12.70000000,0.08958215,11520,0.00401475,0.00000000,0,0.00000000,6827,6824,305,0.00093256
12.80000000,0.03043069,11520,0.00216956,0.00000000,0,0.00000000,6824,6892,210,0.00066593
12.90000000,0.07363464,11520,0.00214708,0.00000000,0,0.00000000,6892,6918,182,0.00128085
13.00000000,0.04240762,11520,0.00246703,0.00000000,0,0.00000000,6918,6897,230,0.00122237
13.10000000,0.07721179,11520,0.00956336,0.00000000,0,0.00000000,6897,6939,215,0.00092726
13.20000000,0.04030887,11520,0.00181614,0.00000000,0,0.00000000,6939,6933,193,0.00099180
13.30000000,0.04118275,11520,0.00309409,0.00000000,0,0.00000000,6933,6940,165,0.00044096
13.40000000,0.04799206,11520,0.00218417,0.00000000,0,0.00000000,6940,6873,215,0.00071163
13.50000000,0.05530369,11520,0.00257688,0.00000000,0,0.00000000,6873,6903,223,0.00053111
13.60000000,0.04121521,11520,0.00192567,0.00000000,0,0.00000000,6903,6863,218,0.00229192
13.70000000,0.03627869,11520,0.00197801,0.00000000,0,0.00000000,6863,6917,186,0.00074037
13.80000000,0.05210002,11520,0.00278505,0.00000000,0,0.00000000,6917,6897,155,0.00056026
13.90000000,0.03789997,11520,0.00300980,0.00000000,0,0.00000000,6897,6943,203,0.00063734
14.00000000,0.03329853,11520,0.00197719,0.00000000,0,0.00000000,6943,6924,214,0.00071630
14.10000000,0.05748079,11520,0.00372437,0.00000000,0,0.00000000,6924,6869,218,0.00067327
14.20000000,0.06146338,11520,0.00213789,0.00000000,0,0.00000000,6869,6907,198,0.00075629
14.30000000,0.10665745,11520,0.00422125,0.00000000,0,0.00000000,6907,6928,129,0.00280754
14.40000000,0.07997522,11520,0.00376627,0.00000000,0,0.00000000,6928,6957,147,0.00083651
14.50000000,0.07307241,11520,0.00197601,0.00000000,0,0.00000000,6957,6989,202,0.00058789
14.60000000,0.04383783,11520,0.00358436,0.00000000,0,0.00000000,6989,6964,180,0.00145171
14.70000000,0.02612966,11520,0.00157800,0.00000000,0,0.00000000,6964,7012,130,0.00066462
14.80000000,0.06190141,11520,0.00229463,0.00000000,0,0.00000000,7012,7074,183,0.00206221
